2024-06-01 17:47:41.437 INFO  [restartedMain] o.s.s.p.JdbcUserDetailsManager - No authentication manager set. Reauthentication of users when changing passwords will not be performed.
2024-06-01 17:47:41.440 INFO  [restartedMain] o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name userDetailsService
2024-06-01 17:47:41.557 INFO  [restartedMain] o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@5be570bd, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@42f44001, org.springframework.security.web.context.SecurityContextHolderFilter@7dc13f2a, org.springframework.security.web.header.HeaderWriterFilter@c0e101f, org.springframework.web.filter.CorsFilter@169ffa54, org.springframework.security.web.authentication.logout.LogoutFilter@22c6ce42, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4f4503c9, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@3f47ba9b, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@43b5cb84, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7123f805, org.springframework.security.web.session.SessionManagementFilter@717c9ace, org.springframework.security.web.access.ExceptionTranslationFilter@55f2f6c7, org.springframework.security.web.access.intercept.AuthorizationFilter@4d532d96]
2024-06-01 17:47:41.664 INFO  [restartedMain] o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-06-01 17:47:41.670 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-06-01 17:47:41.672 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2024-06-01 17:47:41.676 INFO  [restartedMain] c.e.s.Security5jwtappApplication - Started Security5jwtappApplication in 1.252 seconds (process running for 166.765)
2024-06-01 17:47:41.678 INFO  [restartedMain] o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-06-01 17:48:02.472 INFO  [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat-1].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-06-01 17:48:02.473 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2024-06-01 17:48:02.474 INFO  [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2024-06-01 17:51:55.346 INFO  [File Watcher] o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-06-01 17:51:55.355 INFO  [Thread-22] o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2024-06-01 17:51:55.360 INFO  [Thread-22] o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-06-01 17:51:55.362 INFO  [Thread-22] com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Shutdown initiated...
2024-06-01 17:51:55.426 INFO  [Thread-22] com.zaxxer.hikari.HikariDataSource - HikariPool-6 - Shutdown completed.
